,Pregunta,Intencion,Pregunta_new,Pregunta_corregida
5246,no tengo cuenta en su banco y nunca contrate este seguro,Cat_264,no tengo cuenta en su banco y nunca contrate este seguro,no tengo cuenta en su banco y nunca contrate este seguro
5247,si puedo pagar una cuota de mensuales cuanto es el credito que me podria otorgar el banco para compra de vivienda,Cat_251,si puedo pagar una cuota de mensuales cuanto es el credito que me podria otorgar el banco para compra de vivienda,si puedo pagar una cuota de mensuales cuanto es el credito que me podrir otorgar el banco para compra de vivienda
5248,como se gestiona una super cuenta?,Cat_39,como se gestiona una super cuenta,como se gestiona una super cuenta
5249,que tipo de cuenta poseo actualemente,Cat_75,que tipo de cuenta poseo actualemente,que tipo de cuenta poseo actualmente
5250,racarga de saldo de telefono celular,Cat_132,racarga de saldo de telefono celular,recarga de saldo de telefono celular
5251,reintegro del limite de la tarjeta,Cat_314,reintegro del limite de la tarjeta,reintegro del limite de la tarjeta
5252,porque no puedo transferir fondo bonos a a supergestion combinado a ?,Cat_150,porque no puedo transferir fondo bonos a a supergestion combinado a ,porque no puedo transferir fondo bonos a a supergestion combinado a
5253,me das info sobre los fci?,Cat_173,me das info sobre los fci,me das indo sobre los fci
5254,hay creditos prendarios para compra de motos,Cat_228,hay creditos prendarios para compra de motos,hay credito prendarios para compra de motos
5255,cual es el formulario on line de desarrollos urbanisticos?,Cat_200,cual es el formulario on line de desarrollos urbanisticos,cual es el formulario on line de desarrollos urbanistico
5256,como solicitar la tarjeta visa,Cat_337,como solicitar la tarjeta visa,como solicitar la tarjeta visa
5257,cambiar la cuenta para consumos en dolares a traves de online banking,Cat_289,cambiar la cuenta para consumos en dolares a traves de online banking,cambiar la cuenta para consumos en dolar a traves de online bancking
5258,credin transferencia,Cat_54,credin transferencia,crin transferencia
5259,cómo hago para suspender el pago de un servicio que tengo adherido a debito automatico?,Cat_145,cómo hago para suspender el pago de un servicio que tengo adherido a debito automatico,como hago para suspender el pago de un servicio que tengo adherido a debito automatico
5260,sali adjudicado en procrear quisiera saber como sigue el proceso del préstamo hipotecario,Cat_223,sali adjudicado en procrear quisiera saber como sigue el proceso del préstamo hipotecario,sari adjudicado en procrear quisiera saber como sigue el proceso del préstamo hipotecario
5261,doble consumo tarjeta numerar deber llamar,Cat_112,doble consumo tarjeta numerar deber llamar,doble consumo tarjeta numerar deber llamar
5262,ya pagué la tarjeta este mes?,Cat_279,ya pagué la tarjeta este mes,ya pague la tarjeta este mes
5263,quiero notificar pago deuda,Cat_195,quiero notificar pago deuda,quiero notificar pago deuda
5264,hice una transferencia a la mañana pero no me la tomó,Cat_80,hice una transferencia a la mañana pero no me la tomó,hice una transferencia a la mañana pero no me la tomo
5265,hace dos días que no puedo entrar al home banking. sucede algo con eso?,Cat_117,hace dos días que no puedo entrar al home banking sucede algo con eso,hace dos días que no puedo entrar al home bancking sucede algo con eso
5266,quiero saber como me queda el resumen de la tarjeta en base al plan de cuotas que se ofrece desde visa home,Cat_308,quiero saber como me queda el resumen de la tarjeta en base al plan de cuotas que se ofrece desde visa home,quiero saber como me queda el resumen de la tarjeta en base al plan de cuotas que se ofrece desde visa home
5267,y como hago para saber a que suc pertenesco,Cat_100,y como hago para saber a que suc pertenesco,y como hago para saber a que suco pertenezco
5268,si el monto enviado difiere del monto tasado por el banco en ese caso como se sigue?,Cat_217,si el monto enviado difiere del monto tasado por el banco en ese caso como se sigue,si el monto enviado difiere del monto tasado por el banco en ese caso como se sigue
5269,bloqueo de tarjeta por olvido de clave,Cat_288,bloqueo de tarjeta por olvido de clave,bloqueo de tarjeta por olvido de clave
5270,es realmente tasa fija la del super prestamo hipotecario?,Cat_258,es realmente tasa fija la del super prestamo hipotecario,es realmente tasa fija la del super prestamo hipotecario
5271,queria consultarles por creditos uvas de hipotecario,Cat_225,queria consultarles por creditos uvas de hipotecario,quera consultarles por credito uvas de hipotecario
5272,me aceptan la jubilación para pedir una tarjeta?,Cat_337,me aceptan la jubilación para pedir una tarjeta,me aceptan la jubilación para pedir una tarjeta
5273,cuales son los requisitos para el préstamo hipotecario uvas?,Cat_248,cuales son los requisitos para el préstamo hipotecario uvas,cuales son los requisitos para el préstamo hipotecario uvas
5274,quisiera solicitar tarjeta de credito por telefono?,Cat_337,quisiera solicitar tarjeta de credito por telefono,quisiera solicitar tarjeta de credito por telefono
5275,cómo sé si tengo cupo para sacar otro préstamo?,Cat_218,cómo sé si tengo cupo para sacar otro préstamo,como se si tengo cupo para sacar otro préstamo
5276,en que se diferencia un préstamo del otro,Cat_225,en que se diferencia un préstamo del otro,en que se diferencia un préstamo del otro
5277,cuál es la tasa del préstamo personal?,Cat_258,cuál es la tasa del préstamo personal,cuál es la tasa del préstamo personal
5278,hay algun simulador de creditos para clientes santander??,Cat_251,hay algun simulador de creditos para clientes santander,hay algun simulador de credito para clientes santander
5279,que tipo de cuenta me pueden ofrecer,Cat_39,que tipo de cuenta me pueden ofrecer,que tipo de cuenta me pueden ofrecer
5280,es muy complicado aplicar un stop loss?,Cat_189,es muy complicado aplicar un stop loss,es muy complicado aplicar un stop loas
5281,te consultaba por el seguro del hogar que tengo  tuve un desperfecto con el televisor y quiero que lo cubra el seguro. qué es lo que tengo que hacer?,Cat_265,te consultaba por el seguro del hogar que tengo  tuve un desperfecto con el televisor y quiero que lo cubra el seguro qué es lo que tengo que hacer,te consultaba por el seguro del hogar que tengo tuve un desperfecto con el televisor y quiero que lo cubra el seguro que es lo que tengo que hacer
5282,pedir la baja del pago automatico de la tarjeta de credito desde la cuenta corriente,Cat_345,pedir la baja del pago automatico de la tarjeta de credito desde la cuenta corriente,pedir la baja del pago automatico de la tarjeta de credito desde la cuenta corriente
5283,quiero saber a cerca de creditos prendarios,Cat_225,quiero saber a cerca de creditos prendarios,quiero saber a cerca de credito prendarios
5284,pagar servicio querer cancelarlo,Cat_129,pagar servicio querer cancelarlo,pagar servicio querer cancelarlo
5285,hice una carga para red bus pero no se acredito,Cat_129,hice una carga para red bus pero no se acredito,hice una carga para red bus pero no se acredito
5286,tengo un cheque de brasil  puedo corbarlo aca?,Cat_30,tengo un cheque de brasil  puedo corbarlo aca,tengo un cheque de brasil puedo cobrarlo aca
5287,queria saber si tengo la cuenta abierta todavia por que hace un año que no la abono,Cat_61,queria saber si tengo la cuenta abierta todavia por que hace un año que no la abono,quera saber si tengo la cuenta abierta todavia por que hace un año que no la abono
5288,el viernes recibi una tarjeta visa recargable. queria saber como hago para activarla,Cat_313,el viernes recibi una tarjeta visa recargable queria saber como hago para activarla,el viernes recibi una tarjeta visa recargable quera saber como hago para activarla
5289,un reintegro no realizado,Cat_312,un reintegro no realizado,un reintegro no realizado
5290,quisiera abrir una caja de ahorros via online,Cat_39,quisiera abrir una caja de ahorros via online,quisiera abrir una caja de ahorros via online
5291,sali adjudicado en procrear quisiera saber como sigue el proceso del préstamo hipotecario,Cat_223,sali adjudicado en procrear quisiera saber como sigue el proceso del préstamo hipotecario,sari adjudicado en procrear quisiera saber como sigue el proceso del préstamo hipotecario
5292,cómo puedo hacer para conformar un plazo fijo?,Cat_181,cómo puedo hacer para conformar un plazo fijo,como puedo hacer para conformar un plazo fijo
5293,pagué con debito y la primera vez dio error y el monto se debito dos veces,Cat_112,pagué con debito y la primera vez dio error y el monto se debito dos veces,pague con debito y la primera vez dio error y el monto se debito dos veces
5294,el cajero no reconoce mi clave,Cat_288,el cajero no reconoce mi clave,el cajero no reconoce mi clave
5295,me cobran comisión por sacar plata con la tarjeta de ccredito?,Cat_298,me cobran comisión por sacar plata con la tarjeta de ccredito,me cobran comisión por sacar plata con la tarjeta de credito
5296,si pago hoy cuando se libera el límite de mi tarjeta?,Cat_279,si pago hoy cuando se libera el límite de mi tarjeta,si pago hoy cuando se libera el limite de mi tarjeta
5297,quiero saber si la tasa del hipotecario es fija,Cat_258,quiero saber si la tasa del hipotecario es fija,quiero saber si la tasa del hipotecario es fija
5298,renovacion tarjeta,Cat_316,renovacion tarjeta,renovacion tarjeta
5299,queria saber como es el tema del prestamo personal.,Cat_225,queria saber como es el tema del prestamo personal,quera saber como es el tema del prestamo personal
5300,hace poco que tengo trabajo y quiero solicitar el préstamo hipotecario puedo hacerlo?,Cat_248,hace poco que tengo trabajo y quiero solicitar el préstamo hipotecario puedo hacerlo,hace poco que tengo trabajo y quiero solicitar el préstamo hipotecario puedo hacerlo
5301,hay beneficios en work cafe utilizando mis tarjetas santander rio?,Cat_149,hay beneficios en work cafe utilizando mis tarjetas santander rio,hay beneficios en york cafe utilizando mis tarjetas santander rio
5302,necesitar requisito tarjeta visa,Cat_337,necesitar requisito tarjeta visa,necesitar requisito tarjeta visa
5303,si. tenes informacion para hacer pagos al extranjero?,Cat_36,si tenes informacion para hacer pagos al extranjero,si tenes informacion para hacer pagos al extranjero
5304,cuantas cuotas tengo que pagar del prendario para poder vender el auto?,Cat_260,cuantas cuotas tengo que pagar del prendario para poder vender el auto,cuantas cuotas tengo que pagar del prendario para poder vender el auto
5305,queria saber si hay problemas con online banking porque trato de entrar y no puedo,Cat_117,queria saber si hay problemas con online banking porque trato de entrar y no puedo,quera saber si hay problemas con online bancking porque trato de entrar y no puedo
5306,cómo saco una caja de ahorro en pesoss,Cat_39,cómo saco una caja de ahorro en pesoss,como saco una caja de ahorro en pesos
5307,pedir llamar hablar numero,Cat_147,pedir llamar hablar numero,pedir llamar hablar numero
5308,¿cómo funciona el descubierto?,Cat_56,cómo funciona el descubierto,como funciona el descubierto
5309,cómo aplica el seguro de fallecimiento?,Cat_265,cómo aplica el seguro de fallecimiento,como aplica el seguro de fallecimiento
5310,pagué un servicio sin querer como hago para cancelarlo?,Cat_129,pagué un servicio sin querer como hago para cancelarlo,pague un servicio sin querer como hago para cancelarlo
5311,no puedo generar mi usuario para el mobile banking,Cat_1,no puedo generar mi usuario para el mobile banking,no puedo generar mi usuario para el mobile bancking
5312,me siguen debitando un servicio que di de baja tres veces,Cat_292,me siguen debitando un servicio que di de baja tres veces,me siguen debitando un servicio que di de baja tres veces
5313,se bloqueó mi codigo paea homebanking,Cat_1,se bloqueó mi codigo paea homebanking,se bloqueo mi codigo para homebanking
5314,extension limite debito,Cat_303,extension limite debito,extension limite debito
5315,consultar acercar pagar desaparecer listar abonar,Cat_129,consultar acercar pagar desaparecer listar abonar,consultar acercar pagar desaparecer listar abonar
5316,quiero guardar plata banco,Cat_39,quiero guardar plata banco,quiero guardar plata banco
5317,me indicás donde veo las transferencias,Cat_50,me indicás donde veo las transferencias,me indicas donde veo las transferencias
